,0,1,2,3,4,5,6
PWY-5430,0.0,2.4225243539958683e-05,0.0,0.0,5.8053731916923094e-05,0.0,0.0
PWY-5431,0.0,0.0848783846575551,0.0,0.0,0.0,0.0,0.0
PWY-5464,0.015528067124836984,0.17966244430055298,7.067986385397448e-16,0.006039174718955265,0.057283769535099956,0.012611601884382631,0.08224150781032628
PWY-5484,0.8755968100729121,0.8343442759692022,1.3824030133520058,1.012321418744269,0.49929444951536106,0.20910370388572785,0.5394969904692702
PWY-5499,0.0,0.0,0.0,0.0,5.26620739186938e-05,0.0,0.0
PWY-5505,0.38810577632309884,0.0,0.15633275781581005,0.0,0.0,0.1495551343000774,0.32951330418176783
PWY-5507,0.0,0.0,0.0,0.0,0.0002027240674394053,0.0,0.0
PWY-5508,0.0,0.0002607207726877039,0.0,0.0,0.0007910869395504385,0.0,0.0
PWY-5509,0.0,0.02327808024790486,0.0,0.0,0.0029777531544797156,0.0,0.0
PWY-5514,6.947933733684271e-05,0.00047411253054776035,0.0,0.00014561422285932043,0.0033346634484737064,0.0,3.6183834281876376e-12
PWY-5531,0.0,2.2627279126846462e-05,7.621119114415862e-07,6.720237994563272e-07,0.0008972107786139497,0.0,0.0
PWY-5532,0.00015423730593608237,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5534,0.0,0.0052515319564490496,0.0,0.0,0.0,0.0,0.0
PWY-561,0.0,0.7385444404604808,0.0,0.0,0.0,0.0,0.0
PWY-5647,0.0,0.00015858990725213252,0.0,0.0,2.6598151609847794e-06,0.0,0.0
PWY-5651,0.0,0.0,0.0,0.0,0.006145973233388859,0.0,0.0
PWY-5654,0.0,0.005153361715699184,0.0,0.0,0.0,0.0,0.0
PWY-5655,0.0,0.0,0.0,0.0,2.4824263412668493e-05,0.0,0.0
