Superclass1	Superclass2	pathway
PWY-4981	Biosynthesis	Amino Acid Biosynthesis	L-proline biosynthesis II (from arginine)
PWY-4984	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	urea cycle
PWY-5004	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-citrulline metabolism
PWY-5005	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	biotin biosynthesis II
PWY-5022	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Amide, Amidine, Amine, and Polyamine Degradation&&Fermentation	4-aminobutanoate degradation V
PWY-5028	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-histidine degradation II
PWY-5030	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-histidine degradation III
PWY-5044	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	purine nucleotides degradation I (plants)
PWY-5055	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	nicotinate degradation III
PWY-5067	Biosynthesis	Carbohydrate Biosynthesis	glycogen biosynthesis II (from UDP-D-Glucose)
PWY-5079	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-phenylalanine degradation III
PWY-5080	Biosynthesis	Fatty Acid and Lipid Biosynthesis	very long chain fatty acid biosynthesis I
PWY-5081	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-tryptophan degradation VIII (to tryptophol)
PWY-5083	Metabolite Activation/Inactivation/Interconversion&&Biosynthesis	Metabolite Interconversion&&Cofactor, Carrier, and Vitamin Biosynthesis	NAD(P)/NADPH interconversion
PWY-5088	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Amino Acid Degradation&&Fermentation	L-glutamate degradation VIII (to propanoate)
PWY-5097	Biosynthesis	Amino Acid Biosynthesis	L-lysine biosynthesis VI
PWY-5100	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to acetate and lactate II
PWY-5101	Biosynthesis	Amino Acid Biosynthesis	L-isoleucine biosynthesis II
PWY-5103	Biosynthesis	Amino Acid Biosynthesis	L-isoleucine biosynthesis III
PWY-5104	Biosynthesis	Amino Acid Biosynthesis	L-isoleucine biosynthesis IV
PWY-5109	Generation of Precursor Metabolites and Energy	Fermentation	propanoate fermentation to 2-methylbutanoate
PWY-5121	Biosynthesis	Polyprenyl Biosynthesis&&Secondary Metabolite Biosynthesis	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)
PWY-5129	Biosynthesis	Fatty Acid and Lipid Biosynthesis	sphingolipid biosynthesis (plants)
PWY-5136	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	fatty acid &beta;-oxidation II (plant peroxisome)
PWY-5138	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	fatty acid &beta;-oxidation IV (unsaturated, even number)
PWY-5154	Biosynthesis	Amino Acid Biosynthesis	L-arginine biosynthesis III (via N-acetyl-L-citrulline)
PWY-5156	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of fatty acid biosynthesis II (plant)
PWY-5173	Biosynthesis	Secondary Metabolite Biosynthesis	superpathway of acetyl-CoA biosynthesis
PWY-5177	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation	glutaryl-CoA degradation
PWY-5178	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	toluene degradation IV (aerobic) (via catechol)
PWY-5180	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	toluene degradation I (aerobic) (via o-cresol)
PWY-5181	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	toluene degradation III (aerobic) (via p-cresol)
PWY-5182	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	toluene degradation II (aerobic) (via 4-methylcatechol)
PWY-5183	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	superpathway of aerobic toluene degradation
PWY-5188	Biosynthesis	Tetrapyrrole Biosynthesis	tetrapyrrole biosynthesis I (from glutamate)
PWY-5189	Biosynthesis	Tetrapyrrole Biosynthesis	tetrapyrrole biosynthesis II (from glycine)
PWY-5198	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	factor 420 biosynthesis II (mycobacteria)
PWY-5265	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan biosynthesis II (staphylococci)
PWY-5304	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	superpathway of sulfur oxidation (Acidianus ambivalens)
PWY-5306	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Inorganic Nutrient Metabolism	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)
PWY-5328	Degradation/Utilization/Assimilation	Amino Acid Degradation	superpathway of L-methionine salvage and degradation
PWY-5345	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-methionine biosynthesis (by sulfhydrylation)
PWY-5347	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-methionine biosynthesis (transsulfuration)
PWY-5367	Biosynthesis	Fatty Acid and Lipid Biosynthesis	petroselinate biosynthesis
PWY-5381	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD salvage (plants)
PWY-5384	Degradation/Utilization/Assimilation	Carbohydrate Degradation	sucrose degradation IV (sucrose phosphorylase)
PWY-5392	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	reductive TCA cycle II
PWY-5415	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	catechol degradation I (meta-cleavage pathway)
PWY-5417	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	catechol degradation III (ortho-cleavage pathway)
PWY-5419	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	catechol degradation to 2-hydroxypentadienoate II
PWY-5420	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	catechol degradation II (meta-cleavage pathway)
PWY-5430	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	meta cleavage pathway of aromatic compounds
PWY-5431	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	aromatic compounds degradation via &beta;-ketoadipate
PWY-5464	Generation of Precursor Metabolites and Energy	NA	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle
PWY-5466	Biosynthesis	Aromatic Compound Biosynthesis	matairesinol biosynthesis
PWY-5484	Generation of Precursor Metabolites and Energy	Glycolysis	glycolysis II (from fructose 6-phosphate)
PWY-5499	Degradation/Utilization/Assimilation	Cofactor, Carrier, and Vitamin Degradation	vitamin B6 degradation
PWY-5505	Biosynthesis	Amino Acid Biosynthesis	L-glutamate and L-glutamine biosynthesis
PWY-5507	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	adenosylcobalamin biosynthesis I (anaerobic)
PWY-5508	Biosynthesis	Aromatic Compound Biosynthesis	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II
PWY-5509	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
PWY-5514	Biosynthesis	Carbohydrate Biosynthesis	UDP-N-acetyl-D-galactosamine biosynthesis II
PWY-5531	Biosynthesis	Tetrapyrrole Biosynthesis&&Secondary Metabolite Biosynthesis	3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)
