,0,1,2,3,4
Lachnoanaerobaculum,7.65604143601023e-07,8.202640192244107e-05,0.0,0.0009193427837543733,0.0
Lachnoclostridium,0.49091605670417204,5.308605312325132e-13,3.7700323878651864e-11,0.6929993940679724,0.1290632833745155
Lachnospira,0.8656916926720207,0.37452124182762586,2.7374748109793333e-11,0.0,1.799607391014664
Lachnospiraceae_unclassified,0.5100992744627512,1.166898041677749,0.0,0.0,11.052935065047395
Lactobacillus,0.0015317893847513174,0.12201752304559656,3.0888536367315833,0.4778579231659973,0.041301475781854516
Lactococcus,2.5942039406291964e-09,0.00037525526271844814,0.013533994805298093,0.32913081655761733,0.07511872595282783
Lactonifactor,0.0007550533426862643,2.1455689315546386e-15,2.0951909392306212e-11,0.0,0.0019968608562856605
Lautropia,7.893950554692106e-15,6.407330265388944e-05,4.047596647044322e-06,0.009658642788350666,1.2638867308322417e-08
Lawsonella,0.0,0.004148494234969712,5.673604086112569e-05,0.0063783835299625015,0.001521377240043852
Lawsonibacter,0.11356050429131992,0.0026656549056144497,0.0,0.0,0.08093016473983589
Leclercia,0.0,0.0,0.0,0.06805478938148911,0.0
Leptotrichia,0.0,0.0001283107520273529,0.0,0.0005609679167158569,0.0
Leucobacter,2.2160259029945565e-13,0.0,0.0,5.512847469748636e-06,3.1698064469283446e-09
Leuconostoc,8.792133185916098e-07,0.00560177348487581,0.00447834943342474,0.008016256925087997,0.016964375144247406
Limnochorda,8.199075192674318e-06,3.1477753454278145e-14,0.0,0.0,1.3559042568705846e-05
Listeria,0.0,0.0,0.0,0.0,0.0
Lysinibacillus,0.0,0.0,0.0,0.0023567721694934076,0.0
Macrococcus,8.18213388490801e-06,0.0,0.0,1.7486327343930223e-06,8.999072488866865e-07
Mageeibacillus,3.982106617137437e-16,0.0012559016935607783,0.0,0.0,7.515640603424931e-05
Malassezia,0.0,0.0,0.0,0.02204517526611579,0.0
Marvinbryantia,8.863280208750641e-05,0.0,0.0,0.0,0.0003543591669044576
Massilia,0.0,0.0,0.0,0.0,1.0671554855996003e-06
Massiliomicrobiota,0.0006970754777404778,0.0,4.3369428427326344e-13,0.0,0.007271808333821663
